City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Erdemli,36.605,34.3084,75.78,81,0,1.86,TR,1655755261
Turan,16.0678,108.2208,84.18,70,20,0.0,VN,1655754997
Helden,51.115,7.9519,60.39,75,0,3.96,DE,1655755261
Atuona,-9.8,-139.0333,78.12,81,8,25.79,PF,1655755008
Pontes e Lacerda,-15.2261,-59.3353,90.14,34,16,4.36,BR,1655755028
Vaini,-21.2,-175.2,78.35,84,82,15.7,TO,1655755262
Rikitea,-23.1203,-134.9692,70.23,60,88,15.46,PF,1655755262
Gaoual,11.75,-13.2,76.64,88,92,2.98,GN,1655755262
Ushuaia,-54.8,-68.3,31.66,74,75,18.41,AR,1655755152
Shimoda,34.6667,138.95,72.1,96,100,5.55,JP,1655755263
Alofi,-19.0595,-169.9187,79.47,80,72,10.2,NU,1655755263
Fortuna,40.5982,-124.1573,69.93,68,0,4.0,US,1655755263
Klaksvík,62.2266,-6.589,50.92,98,100,13.27,FO,1655755133
Kargil,34.5667,76.1,45.01,55,100,4.16,IN,1655755264
Hong Kong,22.2855,114.1577,84.38,87,100,13.0,HK,1655755177
Punta Arenas,-53.15,-70.9167,37.11,55,10,15.08,CL,1655755264
Butaritari,3.0707,172.7902,82.74,69,14,14.29,KI,1655755264
Port Elizabeth,-33.918,25.5701,61.32,91,98,5.01,ZA,1655755215
Provideniya,64.3833,-173.3,42.82,97,100,12.24,RU,1655755173
Bluff,-46.6,168.3333,32.81,88,6,6.78,NZ,1655755125
Esperance,-33.8667,121.9,55.85,85,0,11.92,AU,1655755265
Lorengau,-2.0226,147.2712,79.77,78,94,3.11,PG,1655755265
Apiaí,-24.5094,-48.8425,60.39,82,94,1.92,BR,1655755148
Beloha,-25.1667,45.05,64.22,75,0,8.23,MG,1655755266
Bethel,41.3712,-73.414,80.02,39,27,3.0,US,1655755266
Fes,34.0372,-4.9998,77.25,50,75,6.91,MA,1655755215
Ribeira Grande,38.5167,-28.7,68.4,68,75,10.36,PT,1655755266
George Town,5.4112,100.3354,78.75,86,40,3.44,MY,1655754968
Lata,40.1629,-8.3327,62.82,80,38,4.83,PT,1655755267
Hilo,19.7297,-155.09,81.28,89,15,4.0,US,1655755126
Avarua,-21.2078,-159.775,78.85,83,75,9.22,CK,1655755267
Mataura,-46.1927,168.8643,32.49,97,9,2.68,NZ,1655755121
Tafresh,34.692,50.013,72.55,30,0,8.01,IR,1655755267
Barra Patuca,15.8,-84.2833,80.37,81,100,14.25,HN,1655755268
Naze,28.3667,129.4833,76.41,88,85,15.23,JP,1655755268
Albany,42.6001,-73.9662,81.18,37,26,10.89,US,1655755168
Busselton,-33.65,115.3333,60.71,73,100,8.48,AU,1655755268
Port Hardy,50.6996,-127.4199,57.2,88,75,5.75,CA,1655755148
Marabu,4.4148,114.0089,75.69,86,100,3.56,MY,1655755269
Airai,-8.9266,125.4092,57.29,88,100,3.29,TL,1655755269
Lakatoro,-16.0999,167.4164,75.9,84,44,7.87,VU,1655755270
Te Anau,-45.4167,167.7167,31.46,95,68,0.89,NZ,1655755270
Huilong,31.8111,121.655,75.92,96,2,6.91,CN,1655755270
Saint-Philippe,-21.3585,55.7679,67.59,70,84,10.92,RE,1655755271
São João da Barra,-21.6403,-41.0511,75.29,78,18,9.48,BR,1655755160
Qaanaaq,77.484,-69.3632,36.86,78,99,5.1,GL,1655755205
Ambilobe,-13.2,49.05,67.77,82,6,4.65,MG,1655755271
Ahipara,-35.1667,173.1667,51.55,80,100,13.56,NZ,1655755271
New Norfolk,-42.7826,147.0587,51.93,86,100,1.52,AU,1655755272
Hobart,-42.8794,147.3294,52.27,86,75,6.91,AU,1655755006
Jamestown,42.097,-79.2353,66.02,56,100,7.0,US,1655755207
Kenora,49.8167,-94.4337,90.57,55,40,9.22,CA,1655755152
Caravelas,-17.7125,-39.2481,71.82,87,87,5.84,BR,1655755272
Kenai,60.5544,-151.2583,64.02,83,64,7.2,US,1655755273
Pevek,69.7008,170.3133,34.88,99,100,5.5,RU,1655755161
Padang,-0.9492,100.3543,77.32,85,89,3.44,ID,1655755273
Rāmshīr,30.8946,49.4092,101.34,14,0,7.76,IR,1655755273
Camacha,33.0833,-16.3333,65.62,60,40,12.66,PT,1655755273
Inhambane,-23.865,35.3833,66.11,78,1,7.85,MZ,1655755274
Puerto Ayora,-0.7393,-90.3518,71.56,98,72,5.01,EC,1655755274
Taltal,-25.4,-70.4833,56.91,75,36,1.48,CL,1655755274
Sandpoint,48.2766,-116.5533,63.43,74,75,8.05,US,1655755072
Yellowknife,62.456,-114.3525,69.57,32,81,8.99,CA,1655755275
Hundested,55.9667,11.8667,58.21,77,69,15.39,DK,1655755275
Sorong,-0.8833,131.25,76.19,88,80,8.16,ID,1655755205
Cape Town,-33.9258,18.4232,62.38,69,3,10.0,ZA,1655755275
Hermanus,-34.4187,19.2345,56.8,87,2,9.48,ZA,1655755114
Krasnosel'kup,65.7,82.4667,65.71,49,100,8.63,RU,1655755276
Kushmurun,52.4503,64.6311,63.39,71,5,9.1,KZ,1655755276
Washington,47.5001,-120.5015,74.79,36,9,7.87,US,1655755011
Keetmanshoop,-26.5833,18.1333,47.77,68,0,9.66,NA,1655755277
Anloga,5.7947,0.8973,79.36,82,18,13.09,GH,1655755277
Longyearbyen,78.2186,15.6401,40.84,65,75,25.32,SJ,1655755277
Wanning,18.8003,110.3967,81.32,92,100,10.63,CN,1655755277
Hay River,60.8156,-115.7999,64.38,52,20,9.22,CA,1655755146
Katangli,51.7102,143.2326,49.21,88,93,9.78,RU,1655755278
Launceston,-41.45,147.1667,51.62,97,100,10.36,AU,1655755278
Constitución,-35.3333,-72.4167,54.77,64,100,7.07,CL,1655754994
Grindavik,63.8424,-22.4338,50.47,87,20,12.66,IS,1655755278
Dunedin,-45.8742,170.5036,39.97,85,100,3.58,NZ,1655755236
Kungurtug,50.5994,97.5228,47.37,80,44,1.16,RU,1655755279
Sitka,57.0531,-135.33,53.49,82,100,4.61,US,1655755265
Sayyan,15.1718,44.3244,66.9,51,98,2.59,YE,1655755279
Saint George,37.1041,-113.5841,87.64,11,0,7.0,US,1655754992
Kharitonovo,61.4009,47.4978,54.75,78,100,8.3,RU,1655755280
Dalvik,65.9702,-18.5286,48.11,76,88,2.53,IS,1655755280
Nhulunbuy,-12.2333,136.7667,77.61,78,75,9.22,AU,1655755280
East London,-33.0153,27.9116,62.29,82,20,12.68,ZA,1655755197
Tabas,33.5959,56.9244,84.72,16,0,13.04,IR,1655755281
Jiujiang,29.7333,115.9833,75.34,97,56,2.8,CN,1655755281
Faanui,-16.4833,-151.75,80.38,74,96,15.23,PF,1655755281
North Bend,43.4065,-124.2243,72.25,100,20,1.99,US,1655755205
Inta,66.0317,60.1659,57.63,80,62,9.62,RU,1655755282
Codrington,-38.2667,141.9667,46.83,95,100,9.95,AU,1655755153
Mar del Plata,-38.0023,-57.5575,55.09,69,0,8.05,AR,1655755151
Severo-Kuril'sk,50.6789,156.125,47.35,95,100,10.29,RU,1655755282
Dikson,73.5069,80.5464,35.37,99,93,7.54,RU,1655755282
